kind	background	n	k_extremes	magnitude	scenario	alpha	repetitions	n_perm	reject_count	rejection_rate	wilson_low	wilson_high	mean_norm	mean_corr	mean_index_overlap	mean_p	p05	p50	p95
l2	normal	80	2	8.0	matched	0.05	300	399	300	1.0	0.9874	1.0	0.9802	0.8967	2.0	0.0026	0.0025	0.0025	0.0025
l2	normal	80	2	8.0	independent_null	0.05	300	399	15	0.05	0.0305	0.0808	0.8005	0.0009	0.0433	0.4831	0.0499	0.4725	0.9575
l2	t5	80	2	8.0	matched	0.05	300	399	300	1.0	0.9874	1.0	0.9576	0.7447	2.0	0.0028	0.0025	0.0025	0.005
l2	t5	80	2	8.0	independent_null	0.05	300	399	17	0.0567	0.0357	0.0889	0.8223	0.0082	0.0633	0.4828	0.0449	0.4525	0.9651
l2	t3	80	2	8.0	matched	0.05	300	399	285	0.95	0.9192	0.9695	0.9241	0.5443	2.0	0.0108	0.0025	0.0025	0.0476
l2	t3	80	2	8.0	independent_null	0.05	300	399	10	0.0333	0.0182	0.0603	0.8272	-0.0049	0.0467	0.5152	0.0574	0.5237	0.9503
l2	t2	80	2	8.0	matched	0.05	300	399	156	0.52	0.4636	0.5759	0.8679	0.2591	2.0	0.0778	0.0025	0.045	0.2478
l2	t2	80	2	8.0	independent_null	0.05	300	399	16	0.0533	0.0331	0.0849	0.8205	-0.0034	0.0433	0.5176	0.0474	0.5388	0.9625
l2	lognormal	80	2	8.0	matched	0.05	300	399	300	1.0	0.9874	1.0	0.9655	0.8249	2.0	0.0028	0.0025	0.0025	0.005
l2	lognormal	80	2	8.0	independent_null	0.05	300	399	16	0.0533	0.0331	0.0849	0.7834	-0.0041	0.05	0.5045	0.0449	0.5112	0.95
l1	normal	80	2	8.0	matched	0.05	300	399	300	1.0	0.9874	1.0	0.9561	0.8737	2.0	0.0027	0.0025	0.0025	0.005
l1	normal	80	2	8.0	independent_null	0.05	300	399	11	0.0367	0.0206	0.0645	0.6378	-0.0032	0.04	0.507	0.0675	0.4962	0.9575
l1	t5	80	2	8.0	matched	0.05	300	399	300	1.0	0.9874	1.0	0.9168	0.7207	2.0	0.0027	0.0025	0.0025	0.005
l1	t5	80	2	8.0	independent_null	0.05	300	399	13	0.0433	0.0255	0.0727	0.685	-0.0019	0.0367	0.5014	0.0549	0.5062	0.9425
l1	t3	80	2	8.0	matched	0.05	300	399	290	0.9667	0.9397	0.9818	0.8574	0.5306	2.0	0.0092	0.0025	0.0025	0.04
l1	t3	80	2	8.0	independent_null	0.05	300	399	16	0.0533	0.0331	0.0849	0.6879	-0.0055	0.0367	0.5191	0.0475	0.5288	0.9625
l1	t2	80	2	8.0	matched	0.05	300	399	161	0.5367	0.4801	0.5923	0.7368	0.2706	2.0	0.0679	0.0025	0.04	0.2325
l1	t2	80	2	8.0	independent_null	0.05	300	399	11	0.0367	0.0206	0.0645	0.6387	-0.0108	0.02	0.532	0.0722	0.535	0.9701
l1	lognormal	80	2	8.0	matched	0.05	300	399	300	1.0	0.9874	1.0	0.8992	0.7658	2.0	0.0027	0.0025	0.0025	0.005
l1	lognormal	80	2	8.0	independent_null	0.05	300	399	23	0.0767	0.0516	0.1124	0.5454	0.0088	0.0767	0.4927	0.0373	0.4775	0.9479
