kind	df_label	n	repetitions	mean_divergence	mean_divergence_cv	mean_q95_divergence	mean_max_divergence	q95_to_mean_ratio	max_to_mean_ratio
l2	normal	80	600	1.3484	0.2969	2.1512	2.8586	1.5953	2.12
l2	t10	80	600	1.4761	0.3204	2.3975	3.5163	1.6243	2.3822
l2	t8	80	600	1.5411	0.327	2.5165	3.7909	1.6329	2.4599
l2	t5	80	600	1.6975	0.356	2.7884	4.8264	1.6426	2.8432
l2	t4	80	600	1.8423	0.376	3.0424	5.6005	1.6514	3.04
l2	t3	80	600	2.1093	0.4072	3.4835	7.2688	1.6515	3.4461
l2	t2.5	80	600	2.559	0.4459	4.0529	10.6566	1.5838	4.1644
l2	t2.2	80	600	2.9248	0.4727	4.5926	13.0323	1.5702	4.4557
l2	t2	80	600	3.3163	0.4898	5.0328	15.7925	1.5176	4.7621
l1	normal	80	600	1.1257	0.3544	1.9369	2.694	1.7206	2.3931
l1	t10	80	600	1.2221	0.3959	2.1718	3.3574	1.7771	2.7473
l1	t8	80	600	1.2726	0.4072	2.2831	3.6306	1.794	2.8528
l1	t5	80	600	1.38	0.4602	2.5388	4.6759	1.8397	3.3883
l1	t4	80	600	1.4756	0.4998	2.7718	5.4475	1.8784	3.6916
l1	t3	80	600	1.636	0.5684	3.165	7.1158	1.9346	4.3495
l1	t2.5	80	600	1.8482	0.6665	3.5929	10.5103	1.9439	5.6866
l1	t2.2	80	600	2.0483	0.738	4.0579	12.8834	1.9811	6.2897
l1	t2	80	600	2.2081	0.8008	4.356	15.6398	1.9727	7.083
